UF,PB
Cidade,BANANEIRAS
Nome Posto,BANANEIRAS
Latitude,-6.766666666666667
Longitude,-35.63333333333333
Codigo,635033
Qtd. Anos,64
Ano,Maxima
1930,18.5
1931,58.3
1932,43.6
1933,83.8
1934,70.2
1935,66
1936,65.4
1937,54.3
1938,38
1939,80.2
1940,80.2
1941,74
1942,72
1943,100.3
1944,56.8
1945,77.8
1946,46.4
1947,60
1948,65.2
1949,53.6
1950,76.4
1951,81
1952,72
1953,51.5
1954,72.7
1955,86
1956,105.2
1957,65.5
1958,60.2
1959,78.6
1960,86.9
1961,91
1962,62
1963,72.3
1964,85.5
1965,35.3
1966,50.8
1967,38.6
1968,50
1969,55
1970,75.5
1971,41.5
1972,45.2
1973,100
1974,111
1975,91
1976,66.4
1977,40
1978,148
1979,41
1980,93
1981,90.1
1982,48
1983,40
1984,95
1985,69.1
1986,138
1987,62
1988,70
1989,70
1990,62
1991,71
1993,65
1994,25
