UF,PB
Cidade,PEDRA LAVRADA
Nome Posto,PEDRA LAVRADA
Latitude,-6.75
Longitude,-36.46666666666667
Codigo,636037
Qtd. Anos,50
Ano,Maxima
1934,71.5
1935,47.8
1936,75
1937,16.1
1938,37.5
1939,36.7
1940,60.4
1941,55.5
1942,33
1943,56.5
1944,77
1945,39
1946,21
1947,57.2
1948,35.5
1949,18.1
1950,39.7
1951,28.6
1952,17.3
1953,18.8
1954,63.3
1955,56.4
1956,40.2
1957,26.7
1958,63.2
1959,39.5
1960,60.6
1961,71.2
1962,23.8
1963,72.2
1964,97.7
1965,42.1
1966,110.5
1967,56.5
1968,87.1
1969,39.2
1970,29.1
1971,101.2
1972,40.4
1973,69.2
1974,99
1975,70.5
1976,113.2
1977,66.1
1978,74.1
1979,58
1980,36.5
1981,60.2
1982,74.7
1983,46.2
