UF,PB
Cidade,DESTERRO
Nome Posto,DESTERRO
Latitude,-7.283333333333333
Longitude,-37.1
Codigo,737018
Qtd. Anos,91
Ano,Maxima
1923,56
1924,59.4
1925,65
1926,84
1927,57.2
1928,45.5
1929,126.2
1930,26.2
1931,61.5
1932,36.4
1933,61.9
1934,65
1935,62.7
1936,36.7
1937,65
1938,51.8
1939,58.5
1940,60
1941,61
1942,61
1943,58.5
1945,65
1946,65
1947,65
1948,65
1949,58.5
1950,58.5
1951,52
1952,52
1953,65
1954,28
1955,32.5
1956,91
1957,91
1958,21.5
1959,28
1960,9.1
1961,42
1963,91
1964,90
1965,125
1966,75
1967,82
1968,80
1969,60.2
1970,50
1971,85
1972,80
1973,70
1974,81.3
1975,125
1976,80
1977,82
1978,100
1979,45
1980,25
1981,72
1982,86
1983,130
1984,78
1985,81
1986,70.6
1987,77
1988,35
1989,38
1990,48
1993,35
1994,63
1995,93
1996,52
1997,45
1998,73
1999,97
2000,56
2001,60.5
2002,105.5
2003,42
2004,112
2005,58.2
2006,89
2007,56.3
2008,144.3
2009,143.9
2010,140.3
2011,87
2012,46.2
2013,73.3
2014,57.3
2015,112.3
2016,105.3
2017,15
