UF,PB
Cidade,CONDADO
Nome Posto,CONDADO-1
Latitude,-6.9
Longitude,-37.61666666666667
Codigo,637028
Qtd. Anos,43
Ano,Maxima
1941,19.5
1942,38
1943,71
1944,93.5
1945,83.5
1946,113.5
1947,113.5
1948,48.4
1949,89.5
1950,94
1951,93.5
1952,70
1953,73
1954,43
1955,95
1956,77
1957,61.8
1958,45
1959,60.5
1960,47
1961,51
1962,94.5
1963,64.2
1964,98.5
1965,81.5
1966,72
1967,65
1968,72.2
1969,95.8
1970,62.2
1971,58.2
1972,68.8
1973,48.2
1974,85
1975,84.2
1976,71.8
1977,95.2
1978,97.2
1979,78.5
1980,80
1981,18.2
1982,58.4
1983,45.2
