UF,PB
Cidade,CABACEIRAS
Nome Posto,CABACEIRAS
Latitude,-7.6
Longitude,-36.28333333333333
Codigo,736022
Qtd. Anos,92
Ano,Maxima
1926,9.8
1927,9.9
1928,9.5
1929,33.4
1930,36.2
1931,72
1932,38.5
1933,42.5
1934,70
1935,169.3
1936,62
1937,72
1938,18
1939,94
1940,96
1941,40.5
1942,39.6
1943,70.8
1944,77.5
1945,22
1946,36
1947,36
1948,8
1949,12.5
1950,83
1951,9
1952,4.3
1953,20.3
1954,19.3
1955,84.5
1956,20.2
1957,11.4
1958,5.5
1959,8.6
1960,16
1961,3.6
1962,6.3
1963,85
1964,55
1965,66.5
1966,59
1967,58
1968,79.5
1969,80
1970,35
1971,60.6
1972,42
1973,26.1
1974,92
1975,98
1976,42.5
1977,83
1978,68
1979,85.2
1980,35.5
1981,77
1982,37.4
1983,18.5
1984,40
1985,50.9
1986,46.2
1987,35
1988,75
1989,75
1990,34
1991,74.6
1993,24
1994,60
1995,72.2
1996,62.2
1997,41.3
1998,21.2
1999,43.2
2000,52
2001,44.2
2002,172
2003,82.2
2004,80.3
2005,53.2
2006,69.2
2007,53.3
2008,218.2
2009,82.2
2010,57.1
2011,50.3
2012,30.5
2013,31
2014,75
2015,21.7
2016,25.5
2017,15.1
2018,48
