UF,PB
Cidade,COREMAS
Nome Posto,ACUDE COREMAS
Latitude,-7.016666666666667
Longitude,-37.96666666666667
Codigo,737019
Qtd. Anos,51
Ano,Maxima
1933,67
1934,68.3
1935,131.5
1936,74
1937,77.5
1938,77.4
1939,77.2
1940,131.5
1941,72.5
1942,68.5
1943,73.5
1944,57.5
1945,83.9
1946,132
1947,98.5
1948,70.2
1949,63.2
1950,60.1
1951,87.8
1952,118.9
1953,126.3
1954,96.5
1955,62.5
1956,80.3
1957,87.3
1958,95.7
1959,49.5
1960,87.7
1961,82.3
1963,73.9
1964,126.1
1965,57.7
1966,68.7
1967,114.9
1968,80.1
1969,96.9
1970,81.4
1971,71.9
1972,67.1
1973,112
1974,120.6
1975,62.7
1976,54.2
1978,74.2
1979,145
1980,101
1981,137.6
1982,108
1983,58.5
1984,55
1985,82.2
