UF,PB
Cidade,UMBUZEIRO
Nome Posto,UMBUZEIRO
Latitude,-7.7
Longitude,-35.666666666666664
Codigo,735002
Qtd. Anos,74
Ano,Maxima
1910,1.4
1911,5.4
1918,0.7
1922,2.3
1924,8.3
1925,34
1926,52.2
1927,29
1928,59
1929,41
1930,66.5
1931,70.6
1932,41.5
1933,54
1934,52.5
1935,55
1936,55
1937,53.5
1938,41
1939,74.3
1940,46.3
1941,87.3
1942,54.8
1943,66.5
1944,45.4
1945,55.3
1946,60
1947,68.5
1948,60
1949,68.3
1950,33.4
1951,68.6
1952,31
1953,60.5
1954,40.3
1955,41
1956,52
1957,40
1958,23.5
1959,75.5
1960,101.3
1961,150.5
1962,38.6
1963,70.6
1964,81.5
1965,69
1966,38.6
1967,63.3
1968,63.3
1969,36
1970,36
1971,62.3
1972,50.7
1973,50
1974,50
1975,50
1976,35
1977,90.2
1978,70.8
1979,73.4
1980,62.5
1981,63.4
1982,70.8
1983,58.8
1984,102.6
1985,81
1986,71.4
1987,25
1988,75
1989,69.4
1990,53.2
1991,74.2
1993,48.2
1994,7.2
