UF,PB
Cidade,POCINHOS
Nome Posto,POCINHOS
Latitude,-7.066666666666666
Longitude,-36.06666666666667
Codigo,736014
Qtd. Anos,66
Ano,Maxima
1923,75.8
1924,66
1929,11.4
1930,22.1
1931,45.6
1932,10.3
1933,21.3
1934,60.5
1935,65
1936,78
1937,38.6
1938,53.4
1939,60.4
1940,70
1941,55.9
1942,28.4
1943,15
1944,66.3
1945,32.3
1946,41.4
1947,41.3
1948,43.6
1949,25
1950,16.6
1951,16.8
1952,36.3
1953,28
1954,25.2
1955,24.1
1956,51.2
1957,79.4
1958,12.3
1959,31.5
1960,48.8
1961,91.2
1962,57.3
1963,23.3
1964,50.4
1965,64.8
1966,52
1967,54
1968,48.3
1969,39
1970,32.4
1971,37.8
1972,59.8
1973,36.2
1974,75
1975,75
1976,28.2
1977,67
1978,151.4
1979,64.8
1980,31.2
1981,99
1982,13.5
1983,29
1984,85.4
1985,58.3
1986,44.5
1987,24.8
1988,90.4
1989,51
1990,31
1991,56.4
1993,24.5
