UF,PB
Cidade,SAO SEBASTIAO DO UMBUZEIRO
Nome Posto,SAO SEBASTIAO DO UMBUZEIRO
Latitude,-8.15
Longitude,-37.016666666666666
Codigo,837000
Qtd. Anos,56
Ano,Maxima
1962,72.3
1963,80.4
1964,83.4
1965,56.9
1966,88.2
1967,85.2
1968,74.2
1969,82.2
1970,41.4
1971,75.6
1972,50
1973,50
1974,50.8
1975,50
1976,60.5
1977,48
1978,50
1979,62
1980,68
1981,76.6
1982,53.2
1983,58
1984,108
1985,90
1986,58.9
1987,35.1
1988,60.4
1989,104
1990,22.8
1991,56.8
1993,24.8
1994,66.6
1995,134.8
1996,42
1997,70.3
1998,23.6
1999,35
2000,80
2001,55.6
2002,90
2003,25
2004,103.5
2005,68.2
2006,75.4
2007,45.8
2008,64
2009,105.3
2010,113.8
2011,103.6
2012,28.7
2013,53.3
2014,56.9
2015,56.1
2016,74.6
2017,43
2018,121.5
