UF,PB
Cidade,BONITO DE SANTA FE
Nome Posto,BONITO DE SANTA FE
Latitude,-7.316666666666666
Longitude,-38.516666666666666
Codigo,738022
Qtd. Anos,59
Ano,Maxima
1933,80
1934,36.2
1935,75.1
1936,67
1937,126.6
1938,32.5
1939,73
1940,116.8
1941,42
1942,80
1943,56
1944,60
1945,36
1946,43.1
1947,61.5
1948,84
1949,94.5
1950,70
1951,54
1952,88.5
1953,62.5
1954,104
1955,56
1956,87.5
1957,58
1958,86
1959,40
1962,64
1963,108
1964,110.4
1965,68
1966,41.1
1967,121
1968,70
1969,140.3
1970,59.3
1971,60.2
1972,76.9
1973,92.2
1974,105.2
1975,91.3
1976,92.3
1977,63.5
1978,115.6
1979,95.8
1980,196.5
1981,103.2
1982,75.4
1983,76.8
1984,120.5
1985,71.1
1986,92.5
1987,61.3
1988,120.4
1989,103.1
1990,79.6
1991,110.9
1993,126.2
1994,86.9
