UF,PB
Cidade,BREJO DO CRUZ
Nome Posto,BREJO DO CRUZ
Latitude,-6.35
Longitude,-37.5
Codigo,637023
Qtd. Anos,62
Ano,Maxima
1913,56
1914,66
1915,22.4
1916,35.3
1917,63.7
1918,65
1919,18.9
1920,49
1921,63.3
1922,51.8
1923,50
1924,63.2
1925,33.8
1931,51
1932,34.3
1933,71.1
1934,72.1
1935,72.5
1936,57.6
1937,104.1
1938,81.9
1939,87.2
1940,275
1941,77.8
1942,76.5
1943,104.1
1944,98.1
1945,66
1946,59.2
1947,68
1948,67
1949,72
1950,69.5
1951,64
1952,65.5
1953,67
1954,84
1955,102
1956,40
1957,90
1958,70
1963,60
1964,4
1965,102
1966,47.2
1967,140.2
1968,72.1
1969,93.4
1970,44.3
1971,89.2
1972,135.1
1973,50
1974,63
1975,92
1976,61
1977,82
1978,82
1979,31
1980,135.6
1981,42.4
1982,120
1983,26
