UF,PB
Cidade,AGUA BRANCA
Nome Posto,AGUA BRANCA
Latitude,-7.516666666666667
Longitude,-37.65
Codigo,737022
Qtd. Anos,87
Ano,Maxima
1931,6.2
1932,21
1933,91.5
1934,27.7
1935,36
1936,6
1937,68.2
1938,52.5
1939,59
1940,69.2
1941,54.2
1942,65
1943,95
1944,64.1
1945,60
1946,82
1947,91
1948,150.5
1949,81.2
1950,96.3
1951,102.1
1952,40.2
1953,65
1954,86.3
1955,95
1956,47.2
1957,70.1
1958,64
1959,49
1960,60
1961,94.1
1962,70.2
1963,75
1964,90
1965,56.2
1966,76
1967,95.2
1968,106
1969,80
1970,60.4
1971,63.3
1972,70.3
1973,105.2
1974,62
1975,60
1976,86
1977,122
1978,90
1979,82
1980,58
1981,84
1982,57
1983,33
1984,72
1985,75
1986,111.8
1987,85
1988,65
1989,88
1990,90
1991,96
1993,35
1994,75
1995,102
1996,93
1997,71
1998,59.6
1999,71.6
2000,72.6
2001,53.2
2002,132.4
2003,67.8
2004,56.6
2005,81.8
2006,105
2007,94.8
2008,63.4
2009,101.2
2010,81
2011,54.4
2012,60
2013,40.2
2014,33
2015,47
2016,75.2
2017,63
2018,57.4
