UF,PB
Cidade,TAPEROA
Nome Posto,TAPEROA
Latitude,-7.2
Longitude,-36.833333333333336
Codigo,736002
Qtd. Anos,88
Ano,Maxima
1914,205.4
1926,70.4
1927,78.2
1928,65.5
1929,70.5
1930,58.3
1931,42.6
1932,87.1
1933,52.7
1934,76.4
1935,64.4
1936,29.5
1937,65.2
1938,46
1939,32
1940,43
1941,64
1942,85
1943,36
1944,52
1945,98
1946,63
1947,72
1948,135
1949,150
1950,440
1951,122
1952,58
1953,76
1954,119.8
1955,91.3
1956,58.4
1957,73.9
1958,38
1959,105.8
1960,40.5
1961,82.2
1962,78.8
1963,63.9
1964,46.5
1965,42.6
1966,81.7
1967,76
1968,96
1969,120.3
1970,31.2
1971,70
1972,107.2
1973,48
1974,57
1975,72.5
1976,103
1977,93.5
1978,92
1979,56
1980,43.5
1981,37
1982,75.5
1983,57.3
1984,48.6
1985,79
1991,87
1993,87
1994,97
1995,119.2
1996,58.4
1997,114
1998,40.4
1999,110
2000,52.6
2001,41.5
2002,70.9
2003,44
2004,93.5
2005,50
2006,123.2
2007,108.4
2008,115.8
2009,86.3
2010,54.4
2011,135.1
2012,78.2
2013,67.6
2014,78.8
2015,138.6
2016,48.3
2017,26.1
2018,104.5
