UF,PB
Cidade,ITABAIANA
Nome Posto,ITABAIANA
Latitude,-7.333333333333333
Longitude,-35.333333333333336
Codigo,735015
Qtd. Anos,72
Ano,Maxima
1918,97.4
1919,47.5
1920,45.5
1921,42.5
1922,58.2
1923,38.4
1924,67.5
1925,39.7
1926,82.4
1927,82.7
1928,92.8
1929,60.5
1930,21.9
1931,69.8
1932,69
1933,48.8
1934,98.5
1935,69.7
1936,38.5
1937,49
1938,44.5
1939,78
1940,77
1941,69.5
1942,63.5
1943,80.3
1944,58.5
1945,71.2
1946,42.5
1947,49.2
1948,52
1949,35.2
1950,35.2
1951,40.3
1952,34.2
1953,29.2
1954,29.3
1955,49.3
1956,35.2
1957,40.2
1958,53.2
1959,110
1960,60.4
1961,29.3
1962,34
1963,56.8
1964,94.6
1965,23.8
1966,85.5
1967,46
1968,47.2
1969,91.2
1970,100
1971,83.3
1972,88
1973,55
1974,64
1975,50
1976,100
1977,114.4
1978,150.2
1979,54.4
1980,100.4
1981,78.8
1982,54.2
1983,30
1984,70.2
1985,75.4
1986,65.2
1987,80.4
1993,25
1994,27
