UF,PB
Cidade,IMACULADA
Nome Posto,IMACULADA
Latitude,-7.383333333333334
Longitude,-37.5
Codigo,737017
Qtd. Anos,60
Ano,Maxima
1933,32.4
1934,70.6
1935,94.3
1936,50.4
1937,60.4
1938,86.4
1939,62.4
1940,110.5
1941,47.5
1942,60.3
1943,85.3
1944,71.5
1945,40.9
1946,55.1
1947,80.9
1948,80.9
1949,50.5
1950,50.8
1951,87.9
1952,80.3
1953,38.5
1954,72.2
1955,74.2
1956,58.2
1957,72.8
1958,33.4
1959,132.4
1960,65.5
1961,61.8
1962,33.2
1963,49
1964,103
1965,62.4
1966,64
1967,81.4
1968,43
1969,32.8
1970,75.4
1971,59.2
1972,41.6
1973,125
1974,135.8
1975,71
1976,78
1977,98
1978,45.8
1979,40.6
1980,103.2
1981,76
1982,83.4
1983,53
1984,61
1985,80
1986,114.1
1987,79.6
1988,75.8
1989,95
1990,52
1991,100.6
1993,21
