UF,PB
Cidade,SAO JOAO DO TIGRE
Nome Posto,SAO JOAO DO TIGRE
Latitude,-8.666666666666666
Longitude,-36.86666666666667
Codigo,836000
Qtd. Anos,83
Ano,Maxima
1935,39.5
1936,50
1937,90
1938,65
1939,40
1940,66.6
1941,30
1942,40.8
1943,34
1944,40
1945,60
1946,60
1947,80
1948,80
1949,109
1950,75
1951,38.2
1952,48.6
1953,40.3
1954,46.8
1955,42
1956,35.3
1957,71.3
1958,80
1959,83.1
1960,98.5
1961,125.3
1962,30.7
1963,65.8
1964,41.8
1965,68.3
1966,98.4
1967,197.2
1968,46.9
1969,56.8
1970,76.4
1971,66.8
1972,54.6
1973,59.4
1974,120.2
1975,54.3
1976,69.4
1977,112.1
1978,38.5
1979,76.3
1980,42
1981,39.2
1982,70
1983,40
1984,100.4
1985,92
1986,91.5
1987,35.4
1988,102.3
1989,42.8
1990,24.8
1991,55.6
1993,52.3
1994,72.4
1995,81.4
1996,68.4
1997,48.4
1998,24.2
1999,35.6
2000,52.6
2001,75.2
2002,66.2
2003,29
2004,100.1
2005,76.2
2006,91
2007,42
2008,49.4
2009,91.2
2010,87.8
2011,81.4
2012,41.7
2013,61.4
2014,64.2
2015,35.8
2016,13
2017,40.7
2018,37.1
