UF,PB
Cidade,ALHANDRA
Nome Posto,ALHANDRA
Latitude,-7.433333333333334
Longitude,-34.916666666666664
Codigo,734008
Qtd. Anos,82
Ano,Maxima
1936,68.5
1937,78.5
1938,65.4
1939,76.5
1940,60.5
1941,131.6
1942,127.4
1943,85.6
1944,69.8
1945,103.2
1946,68.7
1947,54.3
1948,64.8
1949,64.7
1950,63.2
1951,65.4
1952,67.3
1953,65.3
1954,34.2
1955,57.8
1956,152.8
1957,191.7
1958,37.2
1959,98.5
1960,91
1961,100.1
1962,66.8
1963,174.4
1964,150
1965,102.4
1966,146
1967,88.2
1968,36.9
1969,40
1970,40.5
1971,100
1972,60.4
1973,70.2
1974,52
1975,98.4
1976,108.6
1977,85
1978,54.2
1979,111.2
1980,125.7
1981,90.2
1982,82
1983,59
1984,125
1985,131.5
1986,123.6
1987,176.5
1988,116.7
1989,164.6
1990,125.6
1991,86.2
1993,84.7
1994,110.2
1995,125
1996,154
1997,118
1998,83.2
1999,67.6
2000,173
2001,98.6
2002,84.6
2003,101.7
2004,175.4
2005,104
2006,64.4
2007,88.5
2008,122.6
2009,122.8
2010,61.3
2011,138
2012,79.6
2013,109.3
2014,56
2015,94.7
2016,82.5
2017,95.1
2018,86.8
