UF,PB
Cidade,CATINGUEIRA
Nome Posto,CATINGUEIRA
Latitude,-7.133333333333334
Longitude,-37.61666666666667
Codigo,737021
Qtd. Anos,84
Ano,Maxima
1933,46
1934,103.3
1935,124.7
1936,98.2
1937,76.2
1938,126.4
1939,79.4
1940,96
1941,121
1942,114.4
1943,64.2
1944,132.9
1945,86.7
1946,90.2
1947,96
1948,87.3
1949,60.2
1950,78.1
1951,84.2
1952,67.6
1953,73
1954,134
1955,65
1956,61.4
1957,82.7
1958,82.2
1959,37.4
1960,111.3
1961,71.3
1962,84.6
1963,102.5
1964,125
1965,108.7
1966,61.3
1967,110.5
1968,109.9
1969,126.8
1970,90.2
1971,98
1972,112
1973,124.4
1974,94.6
1975,117.8
1976,121.4
1977,80
1978,24
1979,60
1980,100.2
1981,100
1982,79
1983,56
1984,83.2
1985,79
1986,85
1987,69
1988,79
1989,56.1
1990,59
1991,61.4
1994,81.5
1995,72
1996,58.5
1997,78.1
1998,44.6
1999,112.4
2000,70.2
2001,67.6
2002,88
2003,71.3
2004,84.3
2005,64
2006,86.7
2007,70
2008,151.7
2009,105.4
2010,93.4
2011,52
2012,43.5
2013,48.4
2014,86
2015,50
2016,60.5
2017,140
2018,150.8
