UF,PB
Cidade,AGUIAR
Nome Posto,FAZENDA TIMBAUBA
Latitude,-7.016666666666667
Longitude,-38.3
Codigo,738009
Qtd. Anos,43
Ano,Maxima
1933,60
1934,74.8
1935,120
1936,90
1937,80
1938,49.1
1939,103.6
1940,96.4
1941,115.8
1942,81.5
1943,52
1944,58.7
1945,62.3
1946,87.8
1947,118.2
1948,67.1
1949,105
1950,117.3
1951,79.2
1952,111.5
1953,93.4
1955,39.5
1956,67.9
1957,120.3
1958,45.3
1959,88.6
1960,88.2
1961,43.3
1962,64
1963,105.4
1964,107.4
1965,68
1966,55.4
1967,112.3
1968,73.5
1969,45.6
1970,71.2
1971,95
1972,69.8
1973,110.8
1974,81.2
1975,75.3
1977,130
