UF,PB
Cidade,SANTA TERESINHA
Nome Posto,PONTE DA BATALHA
Latitude,-7.13
Longitude,-35.0475
Codigo,735036
Qtd. Anos,51
Ano,Maxima
1969,3
1970,155.8
1971,103.4
1972,96.6
1973,73.8
1974,62.9
1975,70.2
1976,83.8
1977,139.4
1978,137.8
1979,66.4
1980,128.2
1981,94.4
1982,45.6
1983,50.7
1984,60.8
1985,95.2
1986,98.1
1987,91.4
1988,80.2
1989,142.3
1990,80
1991,52
1992,67
1993,50.6
1994,64.6
1995,50.8
1996,45.1
1997,48.8
1998,80
1999,105.7
2000,101.1
2001,46.5
2002,84.3
2003,103.5
2004,56.7
2005,45.1
2006,48.5
2007,103
2008,72.5
2009,502.1
2010,56.4
2011,136.4
2012,182.5
2013,94.1
2014,69
2015,91.2
2016,154.5
2017,164
2018,110.2
2019,104
