UF,PB
Cidade,NOVA OLINDA
Nome Posto,NOVA OLINDA
Latitude,-7.466666666666667
Longitude,-38.05
Codigo,738014
Qtd. Anos,59
Ano,Maxima
1933,13.5
1934,53.2
1935,65.2
1936,68.5
1937,93.4
1938,63.9
1939,60.6
1940,89.4
1941,120
1942,60.5
1943,130
1944,58.2
1945,110.8
1946,78
1947,77.5
1948,123.3
1949,54
1950,63.2
1951,65.6
1952,159.1
1953,82
1954,117
1955,75.2
1956,65
1957,57
1958,109
1959,52
1960,98
1961,100
1962,77
1963,100
1964,196
1965,80
1966,91.3
1967,132
1968,85.2
1969,105.2
1970,157.4
1971,186.5
1972,89.7
1973,146.2
1974,118.1
1975,91.2
1976,123.5
1977,220.3
1978,59.2
1979,127
1980,84.2
1981,105.2
1982,87.3
1983,74
1984,60
1985,76.2
1986,98.7
1987,62
1988,79.2
1989,103
1990,171
1991,82
