UF,PB
Cidade,MAE D'AGUA
Nome Posto,MAE D'AGUA DE DENTRO
Latitude,-7.25
Longitude,-37.43333333333333
Codigo,737015
Qtd. Anos,57
Ano,Maxima
1933,90.9
1934,87
1935,74.3
1938,27.1
1939,77.3
1940,95
1941,53
1942,22.7
1943,25.7
1944,103.5
1945,114.6
1946,78.5
1947,69.6
1948,100.5
1949,66.2
1950,46.3
1951,36.8
1952,76.4
1954,80.5
1955,48.3
1956,71.1
1957,70.3
1958,63.6
1959,51.6
1960,116.4
1961,67
1962,36.2
1963,106.2
1964,122.8
1965,296
1966,69.4
1967,155
1968,80.7
1969,120.4
1970,72.9
1971,65.7
1972,78.2
1973,78.1
1974,132
1975,184.7
1976,35.2
1977,121.2
1978,67.2
1979,72.6
1980,59.8
1981,101.2
1982,94.7
1983,74.5
1984,74.4
1985,118.5
1986,76
1987,64
1988,108.1
1989,64
1990,24.6
1991,100.3
1993,59.2
