UF,PB
Cidade,SERRA BRANCA
Nome Posto,COXIXOLA
Latitude,-7.616666666666667
Longitude,-36.61666666666667
Codigo,736017
Qtd. Anos,56
Ano,Maxima
1962,6.3
1963,22.2
1964,30.3
1965,105.1
1966,70
1967,76
1968,69.1
1969,60
1970,72
1971,70
1972,95
1973,55
1974,135.4
1975,82
1976,97
1977,119
1978,53.4
1979,21.2
1980,90
1981,73
1982,70
1983,50.4
1984,30.4
1985,105.4
1986,89.4
1987,39.2
1988,75.4
1989,124.6
1990,98
1991,81.6
1993,22.4
1994,56.4
1995,79
1996,57.8
1997,40.2
1998,23
1999,119.4
2000,148
2001,40
2002,85
2003,80
2004,75
2005,100
2006,163
2007,100
2008,70
2009,95
2010,90
2011,120
2012,100
2013,80.8
2014,70
2015,68
2016,60
2017,48.5
2018,87
