UF,PB
Cidade,SANTA RITA
Nome Posto,SANTA RITA
Latitude,-7.133333333333334
Longitude,-34.983333333333334
Codigo,734001
Qtd. Anos,62
Ano,Maxima
1926,94
1927,108
1928,119.8
1929,68.9
1930,65.4
1931,24.6
1932,105.8
1933,104.3
1934,85.5
1935,68.1
1936,78
1937,67.7
1938,78.5
1939,84.9
1940,130.6
1941,67.4
1942,77.8
1943,77.9
1944,18.9
1945,72.9
1946,58.9
1947,65.3
1948,66.1
1949,68.2
1950,67.3
1951,90.2
1952,60.9
1953,66.9
1954,84.8
1955,102.6
1956,89.1
1957,70.7
1958,67.5
1959,72.8
1960,105.6
1961,125.3
1962,71.5
1963,133.4
1964,131
1965,82.4
1966,102
1967,62.3
1968,104
1969,80.4
1970,105.4
1971,124.2
1972,111
1973,50
1974,601.8
1975,85
1976,65
1977,112.8
1979,59
1980,125
1981,38.3
1982,37.3
1983,38.5
1984,68.6
1985,100.4
1986,149.6
1988,75
1989,50
