UF,PB
Cidade,OLHO D'AGUA
Nome Posto,OLHO D'AGUA
Latitude,-7.216666666666667
Longitude,-37.766666666666666
Codigo,737011
Qtd. Anos,61
Ano,Maxima
1933,51
1934,63.3
1935,56.7
1936,20.4
1937,60.2
1938,81.3
1939,72.9
1940,81.2
1941,90.2
1942,31.2
1943,36.5
1944,91.7
1945,122.1
1946,71
1947,90.1
1948,76.2
1949,49
1950,51.4
1951,41.2
1952,43.6
1953,39.6
1954,92.3
1955,98.2
1956,90.6
1957,118.4
1958,78.4
1959,24.3
1960,60.2
1961,87.6
1962,50.2
1963,95.4
1964,100.6
1965,95.8
1966,111.6
1967,117.6
1968,103.8
1969,75.8
1970,75.6
1971,113.4
1972,75.6
1973,96.6
1974,78.8
1975,75.6
1976,49.8
1977,110.7
1978,58.6
1979,57.6
1980,91.8
1981,84.8
1982,70.8
1983,94.8
1984,76.2
1985,126.8
1986,135.8
1987,96.4
1988,65.8
1989,109.8
1990,119.6
1991,88.6
1992,15.6
1993,25.6
