UF,PB
Cidade,SOLEDADE
Nome Posto,SOLEDADE
Latitude,-7.060833333333333
Longitude,-36.36194444444445
Codigo,736075
Qtd. Anos,101
Ano,Maxima
1912,9.4
1913,94.7
1914,65.3
1915,54
1916,51.8
1917,70.7
1918,66
1919,50
1920,89
1921,38
1922,51
1923,57
1924,93
1925,55
1931,78
1932,28
1933,46.5
1934,64.9
1935,107
1936,50
1937,46.5
1938,59.4
1939,59
1940,67.6
1941,125.5
1942,42.3
1943,58.4
1944,96.5
1945,38.4
1946,32.4
1947,32.3
1948,76.2
1949,18.3
1950,52.2
1951,11.3
1952,45.2
1953,26.3
1954,35.2
1955,33.2
1956,80.4
1957,47.4
1958,45.4
1959,40.2
1960,40.3
1961,60.4
1962,42.3
1963,70.2
1964,50.2
1965,70.2
1966,50.2
1967,132.2
1968,40.2
1969,80.4
1970,65
1971,75.2
1972,90.2
1973,38.4
1974,73.2
1975,61.2
1976,60.3
1977,82.3
1978,85.3
1979,16.3
1980,65.2
1981,110.2
1982,74.3
1983,30.2
1984,81.2
1985,65.5
1986,75.2
1987,62.4
1988,54.2
1989,65.2
1990,52.4
1991,63.2
1993,16.2
1994,51.5
1995,84
1996,43
1997,56.6
1998,11.4
1999,52
2000,88.6
2001,57.4
2002,77.2
2003,66.8
2004,109.8
2005,53.2
2006,53.5
2007,46.8
2008,35.5
2009,38
2010,98.7
2011,80.2
2012,58.3
2013,23.2
2014,48.6
2015,35
2016,26.8
2017,26.7
2018,19.2
