UF,PB
Cidade,CAJAZEIRAS
Nome Posto,ENGENHEIRO AVIDOS
Latitude,-6.966666666666667
Longitude,-38.46666666666667
Codigo,638047
Qtd. Anos,42
Ano,Maxima
1936,57.6
1937,140
1941,97
1942,49.3
1946,75.5
1947,63.3
1948,46
1949,76
1950,87.1
1951,67
1952,78
1953,74
1954,88.5
1955,70
1956,73.5
1957,60
1958,74.3
1959,56.4
1960,78
1961,115.5
1962,80.6
1963,105
1964,92
1965,75
1966,56.4
1967,97.2
1968,83.5
1969,65.5
1970,84.4
1971,82
1972,75.2
1973,110
1974,73.6
1975,78.8
1976,113
1977,83.5
1978,128.5
1979,156.3
1980,80.3
1981,124.4
1982,93.4
1983,73.5
