UF,PB
Cidade,CATOLE DO ROCHA
Nome Posto,CATOLE DO ROCHA
Latitude,-6.35
Longitude,-37.75
Codigo,637025
Qtd. Anos,71
Ano,Maxima
1922,70
1931,52.5
1932,60.6
1933,58.2
1934,67.6
1935,66.9
1936,70.1
1937,103.2
1938,84.8
1939,75.8
1940,105.7
1941,38.3
1942,85.3
1943,81.4
1944,63.8
1945,71.2
1946,144.1
1947,123
1948,192
1949,127.5
1950,71.4
1951,131.5
1952,181.4
1953,164.7
1954,53.1
1955,119.3
1956,78.1
1957,62.4
1958,57.5
1959,90.7
1960,64.6
1961,70.3
1962,50.5
1963,75.5
1964,75.5
1965,50.1
1966,50.4
1967,162
1968,95
1969,92.9
1970,67.1
1971,23.5
1972,33
1977,80
1978,131.6
1979,77.4
1994,73.8
1995,103.6
1996,168
1997,60
1998,44
1999,90
2000,104.8
2001,52.2
2002,72
2003,62.3
2004,46.2
2005,61
2006,86.9
2007,90
2008,85.2
2009,87.7
2010,65
2011,79.5
2012,52.3
2013,115.5
2014,113
2015,64
2016,64.4
2017,55.2
2018,69.5
