UF,PB
Cidade,BARRA DE SAO MIGUEL
Nome Posto,BARRA DE SAO MIGUEL
Latitude,-7.75
Longitude,-36.333333333333336
Codigo,736025
Qtd. Anos,55
Ano,Maxima
1962,20.5
1963,81
1964,114
1965,70.3
1966,75.3
1967,46.7
1968,194
1969,76.3
1970,45.4
1971,80.1
1972,57.1
1973,44.2
1974,111.3
1975,52.3
1976,51.2
1977,87.2
1978,59.2
1979,33.2
1980,28.2
1981,91.1
1982,34.6
1983,20.2
1984,70.2
1985,93.8
1986,66
1987,28.4
1988,58.2
1989,114.6
1990,68.2
1993,26.6
1994,23
1995,128.1
1996,101.4
1997,75
1998,19
1999,80.5
2000,92.6
2001,40.9
2002,52.6
2003,40.4
2004,59.3
2005,72.5
2006,48.5
2007,35.4
2008,78.8
2009,74.2
2010,68.2
2011,81.5
2012,55.3
2013,73.3
2014,45.6
2015,43.7
2016,39.4
2017,56.1
2018,170.6
