UF,PB
Cidade,AROEIRAS
Nome Posto,AROEIRAS
Latitude,-7.516666666666667
Longitude,-35.68333333333333
Codigo,735029
Qtd. Anos,56
Ano,Maxima
1962,35.2
1963,111.8
1964,54
1965,22.2
1966,37.8
1967,46.2
1968,35.6
1969,92.6
1970,74.2
1971,58.6
1972,50.2
1973,33.2
1974,77.4
1975,58
1976,25.3
1977,82.4
1978,47.8
1979,37
1980,51.4
1981,41.4
1982,31.4
1983,23.6
1984,58
1985,40.6
1986,37.8
1987,48
1988,92.4
1989,47.2
1990,52.6
1991,35
1993,30.6
1994,42.6
1995,49.4
1996,41.6
1997,43.8
1998,19.6
1999,35.4
2000,53.4
2001,46.2
2002,33.8
2003,31.2
2004,104.4
2005,54
2006,33
2007,73.2
2008,41.5
2009,78.8
2010,100.7
2011,74.5
2012,36.9
2013,46.6
2014,61
2015,20.1
2016,69
2017,59
2018,39.5
