UF,CE
Cidade,BOA VIAGEM
Nome Posto,JACAMPARI
Latitude,-4.716666666666667
Longitude,-39.93333333333333
Codigo,439023
Qtd. Anos,67
Ano,Maxima
1926,21.8
1927,67.2
1928,43.7
1929,38
1930,62.5
1932,16.1
1933,66.5
1934,45.6
1935,64
1936,55
1937,62.7
1938,45
1939,37.5
1940,62.2
1941,61.8
1942,40
1943,65
1944,87.2
1945,80.4
1946,63.6
1947,42.9
1948,56.7
1949,59
1950,66.2
1951,69.6
1952,65.3
1953,42.4
1954,41
1955,48
1956,39
1957,160
1958,64.2
1959,31
1960,65.4
1961,72
1962,48.4
1963,50
1964,71.4
1965,83
1966,45.3
1967,113.3
1968,210.3
1969,76.2
1970,51
1971,77
1972,60.2
1973,45.4
1974,135.4
1975,30.6
1976,46.2
1977,43.2
1978,60
1979,78.2
1980,64
1981,80.4
1982,78.2
1983,30
1984,80.4
1985,90.2
1986,100
1988,70
1989,75
1990,80
1991,100
1998,3.4
1999,80
2000,70
