UF,CE
Cidade,MONSENHOR TABOSA
Nome Posto,MONSENHOR TABOSA
Latitude,-4.783333333333333
Longitude,-40.06666666666667
Codigo,440025
Qtd. Anos,96
Ano,Maxima
1912,32
1913,44
1914,66.5
1915,55.8
1916,67.8
1917,76.3
1918,33.8
1919,46.9
1920,83.4
1921,86.5
1922,79.3
1923,48.9
1924,90.3
1925,36.4
1926,106.3
1927,96.5
1928,110.6
1929,53.3
1930,76.9
1931,68.2
1932,43.5
1933,42.3
1934,82.3
1935,47.8
1936,42.5
1937,58.2
1938,57.8
1939,45.3
1940,68.6
1941,60
1942,38
1943,65
1944,73
1945,62
1946,60
1947,40
1948,80
1949,40
1950,110
1951,81
1952,33.4
1953,37
1954,45
1955,38
1956,44
1957,90
1958,94
1959,60
1960,62.6
1961,84
1962,25.1
1963,68.2
1964,99.1
1965,80.1
1966,64.6
1967,68.2
1968,86.8
1969,46.7
1970,88.7
1971,16
1972,36.7
1973,67.4
1974,90
1975,37.1
1976,38.3
1977,70.1
1979,62
1980,46.6
1981,63.2
1982,68
1983,6
1984,60.4
1985,128.1
1998,37.7
1999,96
2000,46.2
2001,126
2002,97.8
2003,63.2
2004,109.8
2005,68.6
2006,80
2007,97.8
2008,79
2009,65
2010,101
2011,67.2
2012,25
2013,26
2014,57.4
2015,61.4
2016,58
2017,49
2018,65
2019,48.6
2020,48.2
