UF,CE
Cidade,TAMBORIL
Nome Posto,TAMBORIL
Latitude,-4.833333333333333
Longitude,-40.333333333333336
Codigo,440007
Qtd. Anos,109
Ano,Maxima
1911,80
1912,66
1913,71.2
1914,68.7
1915,75
1916,67.9
1917,86.2
1918,42.1
1920,79.2
1921,90
1922,60
1923,93
1924,92
1925,66
1926,110
1927,80
1928,60
1929,54
1930,52
1931,65
1932,50
1933,90
1934,80
1935,150
1936,66.9
1937,45.6
1938,63
1939,44
1940,81
1941,113
1942,88.4
1943,79
1944,47
1945,60.3
1946,50
1947,57.3
1948,50.8
1949,50.2
1950,82.5
1951,40
1952,41.3
1953,42
1954,41
1955,68
1956,56
1957,73
1958,74
1959,70
1960,57
1961,66
1962,107
1963,116
1964,100
1965,68.2
1966,110.2
1967,81
1968,102
1969,40.3
1970,78
1971,48.4
1972,72
1973,76
1974,83
1975,42.2
1976,62.2
1977,89
1978,65
1979,72.4
1980,68.1
1981,49.1
1982,90
1983,42.6
1984,87.7
1985,115
1986,58.2
1987,43
1988,81
1989,64.1
1990,76.5
1991,62
1992,37.2
1993,64.4
1994,45
1995,80.4
1996,97
1997,77.6
1998,32
1999,42.6
2000,47.4
2001,56.2
2002,62.9
2003,48.2
2004,93.6
2005,72.2
2006,47.4
2007,65
2008,56
2009,86.6
2010,78.4
2011,65.4
2012,52.5
2013,94
2014,80
2015,114
2016,91
2017,59.2
2018,45.6
2019,59
2020,45.2
