UF,CE
Cidade,MARANGUAPE
Nome Posto,MARANGUAPE
Latitude,-3.9
Longitude,-38.666666666666664
Codigo,338016
Qtd. Anos,109
Ano,Maxima
1910,35
1911,44
1912,170
1913,87
1914,89
1915,70.2
1916,93.3
1917,168.3
1918,101.6
1919,95.5
1920,131.1
1921,103.8
1922,105.1
1923,68.1
1924,97.1
1925,89.3
1927,77.8
1928,74.7
1929,91.3
1930,64.3
1931,71.1
1932,77.3
1933,93.1
1934,67.3
1935,71.2
1936,70.1
1937,84.4
1938,69.8
1939,89.1
1940,96.1
1941,83.3
1942,56
1943,78
1944,60.5
1945,78.2
1946,60.5
1948,64.4
1949,137
1950,90
1951,52.5
1952,72.8
1953,60.3
1954,72.2
1955,65.5
1956,39.8
1957,114.5
1958,60.5
1959,93.6
1960,77
1961,96.8
1962,60.6
1963,88.7
1964,86.6
1965,53.5
1966,46
1967,84.2
1968,79.6
1969,47.7
1970,103.1
1971,88.4
1972,80.7
1973,102.2
1974,128
1975,58.4
1976,86
1977,68.8
1978,100
1979,62.2
1980,119
1981,71
1982,61
1983,90
1984,80
1985,76
1986,98
1987,87.3
1988,130
1989,86
1990,77
1991,63
1992,69.5
1993,60
1994,78
1995,102
1996,82
1997,48
1998,78
1999,66
2000,85
2001,103.2
2002,114.6
2003,102
2004,95.2
2005,112
2006,79
2007,119
2008,113.8
2009,203.8
2010,73.6
2011,90
2012,77.8
2013,50.2
2014,60
2015,100
2016,60.8
2017,89.4
2018,95
2019,96
2020,97
