UF,CE
Cidade,PEDRA BRANCA
Nome Posto,MINEIROLANDIA
Latitude,-5.516666666666667
Longitude,-39.61666666666667
Codigo,539034
Qtd. Anos,85
Ano,Maxima
1932,62.3
1933,73.4
1934,70
1935,61.3
1936,82.3
1937,56
1938,59.3
1939,56.8
1940,61.6
1941,50.8
1942,9.5
1943,33.3
1944,145
1945,80.2
1946,132.2
1947,63.3
1948,56.6
1949,101
1950,77
1951,55
1952,56.4
1953,76.3
1954,52.7
1955,59.8
1956,44.4
1957,78.3
1958,42.6
1959,65.2
1960,96.4
1961,66.4
1962,70.8
1963,57.7
1964,81.8
1965,110.2
1966,97
1967,67
1968,44.4
1969,100
1970,80
1971,41.2
1972,122.7
1973,75.1
1974,90.1
1975,88.3
1976,45.2
1977,104.2
1978,109.2
1979,175.2
1980,97
1981,75.3
1982,81
1983,70.3
1984,82.4
1985,112.3
1986,82.1
1987,58
1988,81.2
1989,83.2
1990,75
1995,2.2
1996,91
1997,82.1
1998,70.2
1999,40.4
2000,45.3
2001,26
2002,73
2003,65
2004,120
2005,150
2006,60
2007,88
2008,77
2009,70
2010,86
2011,115
2012,65
2013,115
2014,110
2015,80
2016,55
2017,50
2018,63
2019,33
2020,60
