UF,CE
Cidade,TRAIRI
Nome Posto,TRAIRI
Latitude,-3.283333333333333
Longitude,-39.25
Codigo,339030
Qtd. Anos,59
Ano,Maxima
1962,86.1
1963,64.3
1964,101
1965,97
1966,51
1967,127
1968,116.8
1969,95.5
1970,63.6
1971,46.5
1972,65.8
1973,132.8
1974,126
1975,45.9
1976,190
1977,65
1978,152
1979,85
1980,60
1981,97
1982,114
1983,103
1984,84.5
1985,105
1986,71
1987,79.5
1988,48.4
1989,71.3
1990,83.6
1991,106
1992,50
1993,94
1994,170
1995,60
1996,150
1997,111
1998,82
1999,122
2000,93
2001,76
2002,130
2003,141
2004,84
2005,74
2006,58
2007,74
2008,81
2009,91
2010,77
2011,100
2012,48
2013,64
2014,50
2015,109
2016,217
2017,78
2018,84
2019,75
2020,64
