UF,CE
Cidade,MUCAMBO
Nome Posto,MUCAMBO
Latitude,-3.9
Longitude,-40.766666666666666
Codigo,340023
Qtd. Anos,87
Ano,Maxima
1933,32
1934,73
1935,76
1936,58
1937,69.5
1938,69.8
1939,65
1940,67.9
1941,65
1942,87
1943,64
1944,132.3
1945,81.2
1946,75.3
1948,63
1949,73.4
1950,68
1951,84.1
1952,79.6
1953,50
1954,101.6
1955,91.4
1956,79.2
1957,105
1958,23.4
1959,120
1960,81.3
1961,106.2
1962,152.8
1963,95.4
1964,57
1965,80
1966,58
1967,98
1968,90
1969,58
1970,87.2
1971,70.8
1972,49
1973,73.8
1974,57.2
1975,69.6
1976,46
1977,90
1978,81
1979,80
1980,57
1981,53.8
1982,74
1983,66.6
1984,61.4
1985,107
1986,100
1987,101
1988,110
1989,65
1990,92
1991,58
1992,48
1993,70
1994,80
1995,72.8
1996,75
1997,105
1998,53
1999,83
2000,49
2001,93
2002,115
2003,80
2004,60
2005,63
2006,46
2007,93
2008,124
2009,105
2010,205
2011,90
2012,80
2013,108
2014,55
2015,75
2016,70
2017,60
2018,75
2019,56
2020,52
