UF,CE
Cidade,QUIXERAMOBIM
Nome Posto,QUIXERAMOBIM
Latitude,-5.2
Longitude,-39.28333333333333
Codigo,539012
Qtd. Anos,47
Ano,Maxima
1974,65
1975,72
1976,55
1977,60
1978,60
1979,50
1980,95
1981,58
1982,93.5
1983,57.4
1984,109
1985,98.9
1986,84.6
1987,57.6
1988,49.6
1989,93
1990,86.4
1991,64.2
1992,81.2
1993,59.6
1994,88
1995,63.6
1996,67
1997,61.8
1998,29.4
1999,71.2
2000,69.4
2001,49
2002,78
2003,91.2
2004,85.5
2005,45
2006,62
2007,45
2008,43
2009,98.6
2010,82.6
2011,62
2012,54
2013,70
2014,42
2015,41.1
2016,49
2017,63
2018,79
2019,51
2020,39
