UF,CE
Cidade,SAO JOAO DO JAGUARIBE
Nome Posto,SAO JOAO DO JAGUARIBE
Latitude,-5.283333333333333
Longitude,-38.266666666666666
Codigo,538010
Qtd. Anos,106
Ano,Maxima
1911,67.3
1912,76.2
1913,67
1914,66.5
1915,34.1
1916,65.4
1917,67.2
1918,71.2
1919,65
1920,65.7
1921,56.4
1922,60.6
1923,51.7
1924,69.1
1925,65
1926,73.3
1927,66
1928,55.3
1929,66.9
1930,70.1
1931,46.6
1932,58
1936,73.4
1937,48.8
1938,35.2
1939,53.4
1940,70.2
1941,55
1942,45.2
1943,97.4
1944,65.6
1946,55.4
1947,60.2
1948,49.5
1949,65
1950,100.4
1951,51.2
1952,109
1953,55.8
1954,36.3
1955,65.5
1956,73.3
1957,95
1958,60
1959,78
1960,70.5
1961,94.6
1962,60.7
1963,62.4
1964,85
1965,75
1966,88.2
1967,83.4
1968,110.8
1969,76.8
1970,43.8
1971,46.6
1972,100.1
1973,65.3
1974,64
1975,76
1976,57
1977,80
1978,46
1979,41
1980,104.4
1981,59.2
1982,73
1983,75
1984,124
1985,78
1986,80
1987,43
1988,58
1989,74
1990,52
1991,71
1992,65
1993,60
1994,52.5
1995,127
1996,80
1997,112
1998,45
1999,46
2000,65.4
2001,49.4
2002,127
2003,93
2004,65
2005,58
2006,62
2007,102
2008,76
2009,96
2010,40
2011,100.6
2012,39
2013,90
2014,46
2015,53.8
2016,75
2017,94
2018,100
2019,65
2020,105
