UF,CE
Cidade,PORANGA
Nome Posto,PORANGA
Latitude,-4.733333333333333
Longitude,-40.916666666666664
Codigo,440018
Qtd. Anos,91
Ano,Maxima
1912,132.3
1913,96.4
1914,72
1915,56.8
1916,75.5
1917,189.2
1918,92.4
1919,94.3
1920,159.6
1921,104.8
1922,310.1
1923,67.1
1924,70
1925,64
1926,106.4
1927,109.2
1928,62
1929,66.7
1930,130
1931,94.4
1932,98.2
1933,74.4
1934,82.3
1935,120
1936,81.3
1937,56.5
1938,106.6
1939,100.2
1940,60.3
1941,62
1942,50
1943,75
1962,39.4
1963,96.2
1964,60.2
1965,73.4
1966,107.4
1967,136.8
1968,50
1969,85.4
1970,30.6
1971,40.2
1972,95.4
1973,133.8
1974,72.4
1975,45.2
1976,70.4
1977,83.2
1978,85.4
1979,90.2
1980,46.3
1981,51.2
1982,43
1983,25
1984,39
1985,80
1986,54
1987,40
1988,50
1989,93
1990,45
1991,35
1992,38
1993,50
1994,28
1995,28
1996,48.5
1997,64
1998,38
1999,131
2000,81
2001,88
2002,131
2003,55
2004,111
2005,123
2006,36
2007,113
2008,44
2009,104
2010,60
2011,66
2012,70
2013,48
2014,30
2015,101
2016,80
2017,103
2018,119
2019,56
2020,137
