UF,CE
Cidade,ALTANEIRA
Nome Posto,ALTANEIRA
Latitude,-7
Longitude,-39.733333333333334
Codigo,639015
Qtd. Anos,59
Ano,Maxima
1962,131.8
1963,68
1964,60.4
1965,76.5
1966,172.2
1967,91.5
1968,66.4
1969,91.4
1970,60.5
1971,121
1972,132
1973,103
1974,84.3
1975,66.5
1976,63.5
1977,65.4
1978,72
1979,157.2
1980,70.2
1981,56
1982,50.4
1983,62
1984,59
1985,92
1986,86
1987,80
1988,95
1989,85.5
1990,77.4
1991,61
1992,79
1993,126
1994,47
1995,74
1996,100
1997,118
1998,50
1999,80
2000,50
2001,55
2002,62
2003,70
2004,94
2005,100
2006,155
2007,114.2
2008,75.8
2009,93
2010,95
2011,90
2012,96
2013,62
2014,80
2015,78
2016,48.2
2017,120.7
2018,65
2019,80
2020,56
