UF,CE
Cidade,TAUA
Nome Posto,TAUA
Latitude,-6.016666666666667
Longitude,-40.28333333333333
Codigo,640002
Qtd. Anos,109
Ano,Maxima
1912,15.7
1913,57
1914,56.5
1915,66.4
1916,60.5
1917,68.4
1918,34.7
1919,42.2
1920,83.5
1921,61.2
1922,71.2
1923,69
1924,110.3
1925,57.2
1926,110.3
1927,46.7
1928,41.3
1929,82.4
1930,62.2
1931,70
1932,51.5
1933,82.4
1934,67
1935,66.5
1936,64
1937,105.3
1938,58.3
1939,40.5
1940,135.8
1941,105.4
1942,70.6
1943,46.6
1944,63.6
1945,64.8
1946,64.5
1947,53.4
1948,47.6
1949,68.8
1950,89.8
1951,69.3
1952,99.7
1953,60.2
1954,55.3
1955,62
1956,59.2
1957,69.2
1958,25.6
1959,55.6
1960,63.2
1961,64.2
1962,68.5
1963,52.4
1964,45.3
1965,68.5
1966,32.4
1967,90.2
1968,78.2
1969,54.3
1970,55
1971,42.1
1972,26.2
1973,55.8
1974,78
1975,50
1976,45.2
1977,68.5
1978,62.6
1979,50.3
1980,45.3
1981,96.8
1982,59.7
1983,34.4
1984,55.5
1985,101.4
1986,44.8
1987,74
1988,43.7
1989,111.4
1990,50.8
1991,47.8
1992,128.6
1993,54.9
1994,79
1995,77.7
1996,60.1
1997,89.6
1998,62.3
1999,53.2
2000,72.7
2001,67.6
2002,53
2003,57.9
2004,56.6
2005,59.1
2006,48.3
2007,62.2
2008,66.4
2009,57.9
2010,82.5
2011,75.2
2012,83.7
2013,48.6
2014,71.4
2015,24.2
2016,69
2017,54.3
2018,70.8
2019,58.8
2020,78.8
