UF,CE
Cidade,TIANGUA
Nome Posto,TIANGUA
Latitude,-3.7333333333333334
Longitude,-40.983333333333334
Codigo,340030
Qtd. Anos,107
Ano,Maxima
1912,50.5
1913,64.2
1914,66.5
1915,36.6
1916,68
1917,126.3
1918,65.2
1919,65.1
1920,50
1921,65.9
1922,73.3
1923,64.4
1924,69.9
1925,96.5
1926,98.3
1927,138.3
1928,79.3
1929,85.5
1930,53.4
1931,108.4
1933,96.7
1934,80.4
1935,80
1936,54
1937,100.6
1938,94.2
1939,76.4
1940,98.8
1941,52.3
1942,90.6
1943,54.4
1944,64.3
1946,82.3
1947,89.8
1948,61
1949,89.6
1950,100.2
1951,60.7
1952,40
1953,60.7
1954,98.4
1955,70
1956,74
1957,107.5
1958,76.5
1959,109.5
1960,61.5
1961,126.6
1962,96
1963,84
1964,70
1965,90
1966,58.1
1967,128
1968,55.3
1969,57
1970,59
1971,55.2
1972,53
1973,67
1974,140
1975,110
1976,63
1977,64
1978,68
1979,106
1980,82
1981,80.4
1982,46
1983,68
1984,50
1985,94
1986,124
1987,60
1988,69
1989,92
1990,55
1991,72
1992,59.4
1993,76.4
1994,104.8
1995,118.6
1996,79.4
1997,58.8
1998,41.2
1999,75.4
2000,76
2001,68
2002,101.2
2003,108.4
2004,72
2005,48.8
2006,57.3
2007,89.5
2008,98
2009,103
2010,74
2011,118
2012,59
2013,40
2014,40
2015,72.2
2016,60
2017,61.4
2018,62
2019,77.4
2020,57.8
