UF,CE
Cidade,UMARI
Nome Posto,UMARI
Latitude,-6.633333333333333
Longitude,-38.7
Codigo,638008
Qtd. Anos,107
Ano,Maxima
1912,2.8
1913,66.8
1914,45
1915,80.7
1916,82.7
1917,73.6
1918,90.6
1919,67.5
1920,58.7
1921,67.4
1922,72.3
1923,89.4
1924,107.8
1925,42.5
1926,62.4
1927,74
1928,49.7
1929,82.7
1930,57
1931,47
1932,45.3
1933,48.1
1934,75
1935,40.8
1936,109.3
1937,63.3
1938,70.4
1939,76
1940,86.8
1941,59.2
1942,67.2
1943,87
1944,62.9
1946,69.8
1947,61.4
1948,48.5
1949,48.5
1950,68
1951,121.3
1952,60.1
1953,44.4
1954,65
1955,72
1956,77.8
1957,63.6
1958,70
1959,60
1960,70
1961,66.2
1962,120
1963,81.1
1964,72.6
1965,66.1
1966,67.8
1967,60.9
1968,55.1
1969,69.6
1970,54.2
1971,66.2
1972,130
1973,77
1974,61
1975,104
1976,76
1977,85
1978,74
1979,106
1980,96
1981,115
1982,73
1983,68
1984,57
1985,84
1986,67
1987,55
1988,59
1989,56
1990,54
1991,72
1992,110
1993,60
1994,72
1995,95
1996,60
1997,102
1998,68
1999,50
2000,88
2001,72.2
2002,56
2003,104
2004,73
2005,34
2006,103
2007,76
2008,119
2009,47
2010,55
2011,95
2012,62
2013,44
2014,50
2016,125
2017,66
2018,87
2019,66
2020,89
