UF,CE
Cidade,CARNAUBAL
Nome Posto,CARNAUBAL
Latitude,-4.166666666666667
Longitude,-40.95
Codigo,440004
Qtd. Anos,59
Ano,Maxima
1962,53.2
1963,43
1964,40.8
1965,52.6
1966,54.8
1967,96.8
1968,50
1969,49.2
1970,31
1971,48
1972,43
1973,67
1974,97
1975,30
1976,25.5
1977,50.2
1978,95
1979,53.4
1980,99
1981,85.2
1982,66.6
1983,33.2
1984,56
1985,90
1986,40
1987,30.8
1988,70.8
1989,100
1990,55.2
1991,42.2
1992,44.4
1993,44.6
1994,57.8
1995,72
1996,62
1997,75.6
1998,44
1999,78.4
2000,37.6
2001,89.6
2002,66
2003,65
2004,133.4
2005,69
2006,56
2007,77
2008,111.2
2009,69.2
2010,32
2011,87
2012,90
2013,23.8
2014,20.2
2015,35
2016,57
2017,33.4
2018,62.8
2019,64.6
2020,65.2
