UF,CE
Cidade,LAVRAS DA MANGABEIRA
Nome Posto,LAVRAS DA MANGABEIRA
Latitude,-6.762777777777778
Longitude,-38.96055555555556
Codigo,638007
Qtd. Anos,102
Ano,Maxima
1912,64.5
1913,86.2
1914,64.5
1915,50.2
1916,70
1917,70.3
1918,62
1919,51
1920,84
1921,70
1922,93
1923,67
1924,64.5
1925,88
1929,64.8
1930,55.5
1931,42.9
1932,48.8
1935,10
1936,38.8
1937,84
1938,38.8
1939,97.4
1940,117.5
1941,56.9
1942,85.8
1943,92
1944,85
1945,75.2
1946,69.3
1947,106.3
1948,78.3
1949,82.1
1950,91.2
1951,131
1952,51.3
1953,92.2
1954,43
1955,95.4
1956,82
1957,94
1958,74
1959,75
1960,86
1961,63
1962,79
1963,83
1964,87.4
1965,90.6
1966,68.2
1967,112
1968,92.6
1969,94
1970,70.8
1971,57.4
1972,111.4
1973,71.8
1974,110
1975,81
1976,49
1978,68.8
1979,49.4
1980,64.4
1981,93.7
1982,63.4
1983,80
1984,75
1985,65
1986,63
1987,88
1988,90.2
1989,97
1990,2.2
1991,63.9
1992,66.8
1993,78.2
1994,64.2
1995,87.6
1996,69.5
1997,76.9
1998,70.3
1999,77.4
2000,51.3
2001,27.8
2002,71.4
2003,57.8
2004,97.1
2005,37.5
2006,120.3
2007,59.9
2008,80.1
2009,81.3
2010,88.9
2011,129.5
2012,89.2
2013,85.2
2014,84.5
2015,73.1
2016,123.3
2017,79.9
2018,97.7
2019,148.6
