UF,CE
Cidade,SOBRAL
Nome Posto,ACUDE AYRES DE SOUZA
Latitude,-3.7666666666666666
Longitude,-40.5
Codigo,340002
Qtd. Anos,40
Ano,Maxima
1941,66.1
1948,58.8
1949,65
1950,65
1951,62.4
1952,39.5
1962,52.6
1963,97
1964,68.8
1965,118.2
1966,45.6
1967,50.5
1968,55.5
1969,56
1970,63
1971,65
1972,36
1973,53
1974,87.3
1975,61.5
1976,52.2
1977,44
1978,154.4
1979,62.5
1980,39.5
1981,57.5
1982,48.3
1983,36.2
1984,40
1985,70.2
1986,65.1
1987,70.6
1988,43
1989,55
1990,8.5
1992,60
2012,34
2018,45
2019,65.8
2020,41.2
