UF,CE
Cidade,JAGUARIBE
Nome Posto,CURRAL NOVO
Latitude,-6.033333333333333
Longitude,-38.86666666666667
Codigo,638009
Qtd. Anos,61
Ano,Maxima
1934,87.9
1935,63.2
1936,96.9
1937,80.4
1938,91.4
1939,60.1
1940,80
1941,83.2
1942,54.1
1943,93
1944,84.7
1945,100.3
1946,40.3
1947,101.2
1948,61.2
1949,100.3
1950,83.1
1951,52.5
1952,45.4
1953,97
1954,72
1955,67.9
1956,81
1957,86
1958,48.5
1959,54.6
1960,134.3
1961,68.2
1962,97.5
1963,80.5
1964,53.7
1965,68.5
1966,67.8
1967,71.8
1968,58.7
1969,66
1970,63.5
1971,80
1972,58.4
1973,127.2
1974,96.7
1975,72.3
1976,72
1977,60.2
1978,104
1979,73
1980,76.4
1981,88.6
1982,99.4
1983,57.4
1984,65.2
1985,84.2
1986,76.4
1987,85.2
1988,55
1989,93
1990,108.4
1998,62.6
1999,120.2
2000,66
2001,12.4
