UF,CE
Cidade,JUCAS
Nome Posto,BAIXIO DE DONANA
Latitude,-6.35
Longitude,-39.666666666666664
Codigo,639063
Qtd. Anos,46
Ano,Maxima
1974,59
1975,47
1976,124
1977,89
1978,65
1979,61
1980,108
1981,75
1982,65
1983,68
1984,102
1985,94
1986,71
1987,130
1988,87
1989,55
1990,63
1991,69
1992,45
1993,49.4
1994,120
1995,58
1996,56
1997,119
1998,45
1999,56
2000,117
2001,57
2002,80.6
2003,106
2004,164
2005,92
2006,106
2007,88
2008,74
2009,80
2011,90
2012,56
2013,54
2014,50
2015,67
2016,66
2017,50
2018,54
2019,62
2020,120
