UF,CE
Cidade,TAUA
Nome Posto,SANTO ANTONIO
Latitude,-5.85
Longitude,-40.35
Codigo,540017
Qtd. Anos,62
Ano,Maxima
1932,110.9
1933,73.3
1934,60.3
1935,80
1936,62.5
1937,64.6
1938,68.9
1939,24.5
1940,65.6
1941,60.8
1942,65.9
1943,34.5
1944,63.3
1945,70.3
1946,45.2
1948,63.8
1949,45.4
1950,51.2
1951,63.6
1952,60.8
1953,44.2
1954,40.8
1955,38.5
1956,67.3
1957,58
1958,68.4
1959,48.3
1960,48.8
1961,41
1962,50.4
1963,85
1964,55.8
1965,76.4
1966,96.2
1967,91.2
1968,91.2
1969,76.2
1970,50.2
1971,66.6
1972,60
1973,43.2
1974,133.4
1975,75.4
1976,30.2
1977,53.5
1978,41.2
1979,35
1980,63.2
1981,96
1982,31.6
1983,89.6
1984,92.2
1985,51.2
1986,58.1
1987,60.4
1988,80.2
1989,142
1990,47
1997,91.6
1998,120
1999,62
2000,37.2
