UF,CE
Cidade,MARCO
Nome Posto,MARCO
Latitude,-3.15
Longitude,-40.15
Codigo,340020
Qtd. Anos,59
Ano,Maxima
1962,50.2
1963,66.4
1964,80.4
1965,83.2
1966,60.1
1967,102.6
1968,58.6
1969,55.4
1970,66.6
1971,65.2
1972,60.4
1973,80.4
1974,410.6
1975,80
1976,76.2
1977,150.4
1978,98.2
1979,44.2
1980,80.6
1981,53.2
1982,54.6
1983,55
1984,78
1985,96
1986,68.2
1987,72.2
1988,97.2
1989,67.2
1990,94.1
1991,55.3
1992,69.6
1993,71
1994,84
1995,88
1996,101
1997,50
1998,55
1999,83.1
2000,67.3
2001,36.5
2002,70
2003,87.8
2004,161
2005,65
2006,58
2007,59
2008,134
2009,87.6
2010,56
2011,90
2012,51
2013,98
2014,41
2015,85
2016,58
2017,60.2
2018,75
2019,77
2020,44.4
