UF,CE
Cidade,MARACANAU
Nome Posto,MARACANAU
Latitude,-3.9
Longitude,-38.63333333333333
Codigo,338005
Qtd. Anos,72
Ano,Maxima
1933,60.5
1934,67
1935,105.2
1936,59
1937,60
1938,105
1939,62.5
1940,65.6
1941,87.5
1942,80.6
1943,115
1944,42
1945,65.5
1962,54
1963,173.4
1964,120.2
1965,102.2
1966,45
1967,46.4
1968,196
1969,63.4
1970,79.2
1971,101.4
1972,64.4
1973,86.2
1974,111
1975,46
1976,103
1977,85
1978,107
1979,90
1980,58
1981,102.4
1982,86
1983,93
1984,76.5
1985,96
1986,120
1987,62
1988,62
1989,50
1990,53
1991,54
1992,72
1993,55
1994,75
1995,86
1996,75
1997,32
1998,76
1999,64
2000,75
2001,135.8
2002,132
2003,68
2004,89
2005,73
2006,111
2007,82
2008,95.6
2009,105
2010,102
2011,90
2012,73
2013,42
2014,63
2015,98
2016,83
2017,106
2018,91
2019,119
2020,66
