UF,CE
Cidade,REDENCAO
Nome Posto,ACUDE ACARAPE DO MEIO
Latitude,-4.183333333333334
Longitude,-38.81666666666667
Codigo,438005
Qtd. Anos,55
Ano,Maxima
1911,59
1912,65.5
1913,109
1914,74.2
1915,29.2
1916,86.6
1917,96
1918,142
1919,28
1920,85.3
1921,125.2
1922,59.3
1923,81.5
1924,95.2
1925,85.4
1926,65.2
1927,77.3
1928,83.2
1929,60.2
1930,68.5
1931,66.1
1936,63.8
1937,65.6
1938,59.9
1939,59.1
1940,64.7
1941,60.5
1942,40.2
1943,10.7
1962,62.6
1963,74.4
1964,67.5
1965,71.8
1966,47.8
1967,21.9
1968,72.6
1969,72.6
1970,67
1971,66
1972,65
1973,94.3
1974,63.8
1975,45.5
1976,79.1
1977,96
1978,91
1979,108
1980,91.2
1981,78.5
1982,44.2
1983,87.4
1984,75.3
1985,106.3
1998,90.4
1999,50.6
