UF,CE
Cidade,IRACEMA
Nome Posto,ACUDE EMA
Latitude,-5.766666666666667
Longitude,-38.35
Codigo,538020
Qtd. Anos,70
Ano,Maxima
1931,71.8
1932,73.5
1933,82.9
1934,150
1935,85.6
1936,65
1937,78.8
1938,74.8
1939,89
1940,84.1
1941,42.5
1942,71
1943,54.8
1944,71
1945,72.5
1946,72.5
1947,70.4
1948,98.2
1949,73.2
1950,64.6
1951,70
1952,77
1953,98
1954,63
1955,76
1956,72
1957,59
1958,50
1959,70
1960,80
1961,57.4
1962,92
1963,84
1964,64.2
1965,58.7
1966,66.2
1967,71
1968,61.8
1969,63.7
1970,62.1
1971,76.5
1972,139.6
1973,64.2
1974,53.8
1975,87.2
1976,45.6
1977,75.4
1978,70.3
1979,61.3
1980,66.4
1981,52.3
1982,86.3
1983,94.6
1984,101.7
1985,83.5
1986,76.5
1987,46.6
1988,155
1989,98.5
1990,61.2
1998,42
1999,80
2000,90
2002,135
2003,61.1
2004,103
2005,44
2006,60
2007,103
2008,55
