UF,CE
Cidade,MILAGRES
Nome Posto,MILAGRES
Latitude,-7.3
Longitude,-38.93333333333333
Codigo,738008
Qtd. Anos,108
Ano,Maxima
1912,67
1913,68.5
1914,53.3
1915,59.6
1916,65.5
1917,74.4
1918,73.4
1919,64.7
1920,64.3
1921,66.3
1922,80.3
1923,68.6
1924,76.8
1925,74.5
1926,61.5
1927,72.4
1928,110
1929,81.3
1930,55
1931,51
1932,72
1933,102
1934,72
1935,96
1936,88
1937,53
1938,44
1939,61
1940,200
1941,92
1942,121
1943,111
1944,61.4
1945,94.2
1946,130.1
1948,43
1949,140
1950,96
1951,124
1952,94
1953,69.3
1954,68
1955,85
1956,90
1957,115
1958,120
1959,46
1960,64.2
1961,72
1962,85
1963,71.2
1964,70.3
1965,64.2
1966,110.9
1967,64.3
1968,62.1
1969,103.2
1970,40.5
1971,74.6
1972,99
1973,118
1974,94
1975,77.2
1976,50
1977,67
1978,112.4
1979,77
1980,86
1981,68
1982,69
1983,60
1984,52.1
1985,70.2
1986,64
1987,44
1988,61.1
1989,81
1990,53.6
1991,51.4
1992,67
1993,40
1994,101
1995,105
1996,68.6
1997,71
1998,120
1999,81.6
2000,102
2001,70
2002,56.6
2003,90
2004,118
2005,147
2006,75.5
2007,52.6
2008,119
2009,67
2010,132
2011,104
2012,65
2013,120
2014,70
2015,31
2016,110.5
2017,77.6
2018,60.1
2019,64.8
2020,73
