UF,CE
Cidade,INDEPENDENCIA
Nome Posto,IAPI
Latitude,-5.616666666666667
Longitude,-40.416666666666664
Codigo,540007
Qtd. Anos,78
Ano,Maxima
1934,60.8
1935,72.1
1936,76.3
1937,99.2
1938,60
1939,42.4
1940,100
1941,50
1942,20
1943,40
1944,70
1946,50
1948,84
1949,48
1950,58.4
1951,90.9
1952,45.6
1953,65.7
1954,60.6
1955,40.6
1956,32.3
1957,120.6
1958,80.9
1959,36.6
1960,60.9
1961,60.3
1962,50.6
1963,70.4
1964,67.4
1965,65
1966,85.3
1967,65
1968,70
1969,57
1970,44
1971,43
1972,85
1973,65
1974,100
1975,50.9
1976,60.9
1977,125
1978,185
1979,72
1980,70
1981,58
1982,48
1983,35
1984,72
1985,64.2
1986,42
1987,80
1988,65
1989,75
1990,38
1998,21.1
1999,66.2
2000,35
2001,71.2
2002,70.3
2003,84
2004,118.3
2005,80
2006,23
2007,46
2008,80
2009,125
2010,64
2011,90
2012,28
2013,47
2014,50
2015,62
2016,70
2017,27
2018,70
2019,53
2020,53
