UF,CE
Cidade,CARIDADE
Nome Posto,ACUDE ALTO ALEGRE
Latitude,-4.083333333333333
Longitude,-39.03333333333333
Codigo,439016
Qtd. Anos,39
Ano,Maxima
1920,41.5
1921,56
1922,50
1923,25
1924,64
1925,60.6
1962,121.1
1963,75.3
1964,80.5
1965,98.4
1966,28.9
1967,138.2
1968,107.2
1969,46
1970,75.2
1971,75.3
1972,77.3
1973,64.4
1974,100.1
1975,36.2
1976,55.2
1977,69.1
1978,75.2
1979,75.2
1980,76.1
1981,75.2
1982,45.2
1983,92.1
1984,55.2
1985,75
1986,63.1
1987,80.1
1988,100.3
1989,108.1
1990,52.3
1991,83.1
1994,32
1998,19.3
1999,33.1
