UF,CE
Cidade,MIRAIMA
Nome Posto,MIRAIMA
Latitude,-3.5666666666666664
Longitude,-39.96666666666667
Codigo,339023
Qtd. Anos,91
Ano,Maxima
1922,86.5
1923,63.7
1924,94.2
1925,78.6
1926,84.6
1933,68.1
1934,97
1935,78.3
1936,38.8
1937,70.2
1938,74
1939,65.1
1940,62.4
1941,65.2
1942,65.2
1943,66
1944,65.5
1947,74.5
1948,60
1949,55.1
1950,60
1951,48.2
1952,60.2
1953,66.5
1954,74.7
1955,72.5
1956,54
1957,88
1958,42
1959,42
1960,66
1961,83
1962,52.4
1963,64.3
1964,52.4
1965,86.2
1966,90.8
1967,100.5
1968,92.6
1969,76.2
1970,85
1971,73
1972,46.2
1973,47.6
1974,64.8
1975,70
1976,33
1977,94
1978,150
1979,79
1980,90
1981,31
1982,50.4
1983,25
1984,54
1985,64.4
1986,75.2
1987,75
1988,66
1989,58
1990,85
1991,60
1992,46
1993,51
1994,61
1995,39
1996,92
1997,65
1998,44
1999,67.3
2000,87
2001,103
2002,79
2003,84.6
2004,173.6
2005,90
2006,118
2007,34
2008,65
2009,46.8
2010,47.1
2011,92.8
2012,40.4
2013,57
2014,50.2
2015,41.4
2016,49
2017,64.8
2018,100.3
2019,95
2020,95
