UF,CE
Cidade,GUARACIABA DO NORTE
Nome Posto,GUARACIABA DO NORTE
Latitude,-4.183333333333334
Longitude,-40.75
Codigo,440023
Qtd. Anos,109
Ano,Maxima
1912,67.1
1913,65
1914,60.8
1915,49.3
1916,89.1
1917,72.1
1918,67.3
1919,64
1920,64.6
1921,57.3
1922,70.5
1923,84.1
1924,90
1925,80.6
1926,86.4
1927,155.4
1928,120
1929,149.3
1930,116
1931,60.3
1932,43
1933,80
1934,70
1935,167
1936,60.2
1937,114
1938,126
1939,80.2
1940,141.2
1941,82.2
1942,90
1943,50
1944,83
1945,82
1946,159
1947,80
1948,51
1949,74
1950,115
1951,85
1952,150
1953,34
1954,73
1955,90
1956,71
1957,81
1958,32
1959,106
1960,71.8
1961,92.5
1962,50
1963,79.8
1964,71.9
1965,93.6
1966,132.5
1967,91.3
1968,64.3
1969,68
1970,61
1971,63.2
1972,113.2
1973,99.5
1974,72.3
1975,153.4
1976,94
1977,115
1978,75
1979,61
1980,57
1981,93
1982,52.3
1983,54
1984,95.1
1985,107.5
1986,91
1987,81
1988,125
1989,97
1990,86
1991,55.2
1992,85
1993,50.4
1994,78.6
1995,72
1996,105
1997,150.2
1998,46
1999,63.2
2000,72.3
2001,81
2002,100
2003,92
2004,93
2005,95
2006,120
2007,51
2008,108
2009,80
2010,85
2011,133
2012,114
2013,90
2014,97
2015,52
2016,82
2017,77
2018,105
2019,58
2020,107
