UF,CE
Cidade,ARNEIROZ
Nome Posto,ARNEIROZ-2
Latitude,-6.316666666666666
Longitude,-40.15
Codigo,640042
Qtd. Anos,42
Ano,Maxima
1979,82
1980,87.4
1981,72.8
1982,60
1983,58.4
1984,86
1985,130.8
1986,39.4
1987,45
1988,75
1989,104
1990,39.2
1991,46
1992,88
1993,25.6
1994,55.8
1995,153
1996,52.2
1997,82.6
1998,70
1999,69
2000,78
2001,68.2
2002,38
2003,80
2004,135
2005,75
2006,62.6
2007,122
2008,82.4
2009,86
2010,89.6
2011,58
2012,50.6
2013,43.2
2014,40.8
2015,42
2016,112.3
2017,41
2018,74.5
2019,65.3
2020,78.6
