UF,CE
Cidade,ALTO SANTO
Nome Posto,ALTO SANTO
Latitude,-5.516666666666667
Longitude,-38.25
Codigo,538003
Qtd. Anos,60
Ano,Maxima
1961,95.8
1962,57.5
1963,78
1964,72.3
1965,37.8
1966,36.2
1967,83.1
1968,80.4
1969,74.8
1970,75.8
1971,42.2
1972,80.8
1973,74.6
1974,59.2
1975,42.2
1976,48.2
1977,104.6
1978,72.2
1979,88.2
1980,112.8
1981,56.2
1982,62.2
1983,60
1984,65.6
1985,130
1986,97.2
1987,81
1988,67
1989,77
1990,51
1991,62.4
1992,63.8
1993,29.4
1994,50
1995,82.4
1996,76.8
1997,64.6
1998,37.8
1999,81.6
2000,74
2001,48
2002,72
2003,49.2
2004,80.4
2005,53.6
2006,68.2
2007,54
2008,79.6
2009,140
2010,65
2011,62.6
2012,54.6
2013,95
2014,119
2015,50
2016,77
2017,87
2018,57
2019,67.4
2020,61.4
