UF,CE
Cidade,PALHANO
Nome Posto,PALHANO
Latitude,-4.75
Longitude,-37.96666666666667
Codigo,437009
Qtd. Anos,89
Ano,Maxima
1932,18.3
1933,40.8
1934,60
1935,48
1936,55
1937,64.5
1938,57.2
1939,53
1940,53.7
1941,64
1942,27
1943,61.8
1944,64.2
1945,65
1946,54.5
1947,66
1948,60.5
1949,47.6
1950,55
1951,64.5
1952,45
1953,45
1954,63
1955,60.2
1956,61
1957,63.4
1958,47.5
1959,63
1960,50.5
1961,61.5
1962,65.8
1963,155
1964,62
1965,82.3
1966,34.2
1967,52.8
1968,87.2
1969,55.3
1970,45.6
1971,48.4
1972,68.2
1973,71.8
1974,58.2
1975,57.2
1976,71.4
1977,82.4
1978,41.3
1979,59.8
1980,78.7
1981,76.2
1982,135
1983,43
1984,65.4
1985,91.8
1986,113
1987,60
1988,103.4
1989,79.4
1990,52.3
1991,52.4
1992,57.8
1993,12.6
1994,78.3
1995,57.4
1996,83.5
1997,50
1998,34
1999,54.5
2000,62
2001,62.8
2002,75.2
2003,56.4
2004,142
2005,62.2
2006,60
2007,55
2008,70
2009,77.5
2010,46
2011,66
2012,116
2013,70
2014,35
2015,51
2016,71
2017,88
2018,67
2019,85
2020,63
