UF,CE
Cidade,CANINDE
Nome Posto,UBIRACU
Latitude,-4.416666666666667
Longitude,-39.61666666666667
Codigo,439013
Qtd. Anos,67
Ano,Maxima
1935,104.8
1936,59.1
1937,65
1938,114.2
1939,58
1940,124.5
1941,67
1942,38.2
1943,60.8
1944,68.3
1945,57.9
1946,44.6
1947,63.9
1948,85
1949,45.2
1950,79
1951,36
1952,118.4
1953,40.3
1954,41.5
1955,68.8
1956,81.1
1957,85.7
1958,23.8
1959,55.5
1960,61.6
1961,80.9
1962,65.5
1963,51.5
1964,68.8
1965,61.3
1966,67
1967,141
1968,59
1969,71.1
1970,59.6
1971,72.6
1972,52
1973,135
1974,95.4
1975,61.4
1976,82
1977,76
1978,91.6
1979,77
1980,77.6
1981,119.5
1982,45
1983,49.6
1984,60
1985,162.6
1986,81.8
1987,65.6
1988,94.5
1989,90
1990,36.4
1991,65.6
1993,10
1994,32
1999,72.4
2000,74.5
2001,118.2
2002,112.2
2003,45.6
2004,96
2005,37.4
2014,50.2
