UF,CE
Cidade,LAVRAS DA MANGABEIRA
Nome Posto,PATOS
Latitude,-6.75
Longitude,-39.06666666666667
Codigo,639028
Qtd. Anos,59
Ano,Maxima
1937,86.9
1938,70.2
1939,83.9
1940,91
1941,67.7
1942,94.8
1943,73.1
1944,92.3
1945,92.3
1946,90.2
1947,108.4
1948,70.3
1949,85.7
1950,78.2
1951,83.7
1952,41.1
1953,61.2
1954,55.3
1955,87.2
1956,83.5
1957,71.6
1958,66.4
1959,45.7
1960,80.2
1961,43.5
1962,74.2
1963,121.2
1964,86.6
1965,51.5
1966,44.2
1967,103.4
1968,84.4
1969,95.2
1970,87.5
1971,60.5
1972,76.4
1973,83.3
1974,62.9
1975,82.1
1976,49.3
1977,65.6
1978,76.4
1979,115.1
1980,80.2
1981,91.2
1982,93.5
1983,87.8
1984,59.5
1985,103.2
1986,75
1987,76
1988,100
1989,83
1990,90
1995,8
1996,65.2
1997,91.5
1998,61.2
1999,91
